Message,Prediction,Topic
"

In article <1993Apr20.173742.99726@ns1.cc.lehigh.edu> hl00@ns1.cc.lehigh.edu (HOU-SHENG LIN) writes:
>Well, I'm not too sure if this would be the right place to post this, but
>anyway, here goes:  I was just noticing that some of the current bubblejet
>printers offers up to 360x360 resolution while a lot of lower end laser
>printers only offer 300x300.  However, the laser printers still seems to be
>significantly pricier than the bubblejets... how is this?  Or am I missing
>something about the resolution thing?

Bubblejets often splatter a little bit, whereas LaserJets (given half-way decent
toner, like HP's ""Microfine"" stuff) don't.  Both produce very good output,
but you don't have to look too closely at the two to tell that LaserJet
output is definitely superior.  

On the other hand, LaserJets which haven't been maintained properly and use
the cheapest toner the owner could find often produce awful output, much
worse than a bubblejet. :-)

One other thing... there are bubblejets, and then there are BubbleJets.
There are a few bubblejets out there that produce rather mediocre output
(such as HP's dinky little BubbleJet), whereas most produce really good
looking output (such as HP's DeskJets).  IBM and Canon both produce some of
the really good style bubblejets.

					---Joel Kolstad

P.S. -- If you're in the market for a portable bublejet printer, I can
highly recommend the HP Portable DeskJet, although I've heard the portable
Canons are good too (I needed PCL support, myself).  With the DeskJet
Portable, you even get an undocumented PCMCIA card slot!
",E,E
"
X-Maildoor: WaflineMail 1.00r

{Michael Fulbright} said
   ""Analog switches/Balanced""
      to <All> on 04-15-93  01:08
 MF> I am trying to build a synchronous demodulator and I've hit a snag.
 MF> In my application I want to be able to change the gain of an
 MF> op amp amplifier from 1 to -1, controlable via a digital input.
 MF> The most obvious way I've come up with is to use analog switches
 MF> to adjust the gain of the op amp. The only analog switch I have
 MF> experience with it the 4066. Unfortunately I want to switch an
 MF> AC signal which goes from about -5V to 5V, and the 4066 is only
 MF> for positive signals.

    How about using a 4053 it has a seperate ground for the
    analog outputs.  It would get you 3 bits.

 MF> Another part which caught my eye was the Analog Devices AD630. This
 MF> is a balanced demodulator which appears to fill exactly the need I
 MF> have. The data sheet was somewhat skimpy on application notes. Could
 MF> someone comment on using this chip for the following application?

    Or how about a multiplying D/A convertor?  This is
    essentiallty what you are makeing.


                Stephen Cyberman@Toz.Buffalo.NY.US
             Mangled on Fri  04-16-1993  at 13:36:11

... Catch the Blue Wave!
---
 * Blue Wave/QWK v2.12 *
                          
",E,E
"

Used, good condition:
Hitachi V-422 40MHz Dual-Channel Portable Analog Oscilliscope
	o 1mV/div
	o DC offset
	o alternate magnification (10x magnified & non-magnified waveform)
	o VERT mode trigger
	o TV sync separation circuit

List price	$910.00 (...and the price Fry's electronics just quoted!) :-(
Sells for	$699.99 (JDR MicroDevices current price)
		$745.95 (Products International)
Your price used $425.00 obo

JDR 2000 20MHz Dual-Channel Portable Analog Oscilliscope
	o 5mV/div
	o Component Tester (resistors/caps/diodes/coils)
	o TV video sync filter
	o z-axis input (intensity modulation)

List price	$479.95 (I think...but who pays retail?)
Sells for	$389.95 (JDR MicroDevices)
		$299.95 (JDR floor sample...hurry, it's in their showroom!)
Your price used $210.00 obo

I'd prefer a local (Bay Area, California) buyer, so (a) I don't have to ship
it and (b) she or he can examine the scope prior to purchase.

rbn@apple.com
",E,E
"

In article <1993Apr6.053736.23113@doug.cae.wisc.edu> kolstad@cae.wisc.edu (Joel Kolstad) writes:
>>In <3889@ncr-mpd.FtCollinsCO.NCR.COM> Brad Wright writes:
>>
>>>	If you know much about PC's (IBM comp) you might try the joystick
>>>port.  Though I haven't tried this myself, I've been told that the port
>
>I believe that the ""A-D converters"" found on a joystick port are really
>timers that tick off how long it takes an R-C circuit (the R being your
>paddle) to charge up to something like 1/2 Vcc.  For games this works
>pretty well, but you certainly wouldn't want to try to take lab
>measurements off something as non-linear as that.

The best info I have seen so far is the article ""Joystick Metrics:
Measuring physical properties through the PC's joystick port"" by
Michael Covington in the May 1985 issue of PC Tech Journal.  It talks
about how to read all kinds of things (voltage, current, resistance) in
BASIC, and even includes code for a simple ""oscilloscope"" display.

It's possible to read the joystick port directly if you don't want to
use BASIC.  The detailed information for this is in the PC Technical
Reference under Options and Adapters.  You have to provide some
millisecond resolution timing functions, but that's a subject which has
appeared many times in articles from Dr. Dobb's, Circuit Cellar Ink,
etc.  Look for the public domain ztimer package on wuarchive.

Good Luck,

Dev Palmer
dpalmer@mcnc.org
MCNC Room 212
P.O. Box 12889
RTP, NC  27709-2889
(919) 248-1837
(919) 248-1455 FAX
",E,E
"
Distribution: world
Message-ID: <1rmn0c$83v@morrow.stanford.edu>
NNTP-Posting-Host: nova1.stanford.edu

Hi all,

My skin is very dry in general. But the most serious part is located
from knees down. The skin there looks like segmented. The segmentation
actually happens beneath the skin. I would like to know if there is any
cure for this.

At the supermarkets or pharmacies, there are quite a lot of stuffs for
dry skins, but what to chose?

Thanks in advance for all advices and hints.

Reply by email preferred.

Alex


",E,M
"

In article <734953838.AA00509@insane.apana.org.au> peter.m@insane.apana.org.au (Peter Tryndoch) writes:
>
>So when you turn on the power, this causes the bulb to work like a neon, 
>heating up and shorting out, thus providing a loop to power the heaters in 
>the main tube. When the tube fires, insufficient current runs through the 
>starter to keep the heat up and the bi-metalic strip straightens out 
>(O/C).

Imprecise. This description

 1. ignores the role of the ballast,
 2. misrepresents the heating effects in the starter.

The bimetalic strip cools down immediately after the contacts
short circuit, because the neon discharge stops, and much less
heat is generated from the I^2R loss in the metal as compared to
the neon discharge.

The starter contacts open before the tube fires.  Actually,
the tube fires as a result of the back-emf generated in the ballast
because of this immediate opening of the starter's contacts.

A capacitor is connected in parallel with the contacts to prevent
excessive arcing during the firing.  The neon reionizes but does not draw
sufficient current to prevent firing of the tube itself.
-- 
Mustafa Kocaturk   mustafa@seas.smu.edu  EE Dept., Room 305A, Caruth Bldg.
Home: 214-706-5954  Office: 214-768-1475  SMU Box 753190, Dallas, TX 75275
",E,E
"
NNTP-Posting-Host: cmb00.larc.nasa.gov
In-reply-to: dozonoff@bu.edu's message of 21 Apr 93 16:18:19 GMT

In article <116305@bu.edu> dozonoff@bu.edu (david ozonoff) writes:

   Path: news.larc.nasa.gov!darwin.sura.net!zaphod.mps.ohio-state.edu!uwm.edu!linac!att!bu.edu!dozonoff
   From: dozonoff@bu.edu (david ozonoff)
   Newsgroups: sci.med
   Date: 21 Apr 93 16:18:19 GMT
   References: <PAULSON.93Apr19081647@cmb00.larc.nasa.gov>
   Sender: news@bu.edu
   Lines: 22
   X-Newsreader: Tin 1.1 PL5

   Sharon Paulson (paulson@tab00.larc.nasa.gov) wrote:
   : 
   {much deleted]
   : 
   : 
   : The fact that this happened while eating two sugar coated cereals made
   : by Kellog's makes me think she might be having an allergic reaction to
   : something in the coating or the cereals.  Of the four of us in our
   : immediate family, Kathryn shows the least signs of the hay fever, running
   : nose, itchy eyes, etc. but we have a lot of allergies in our family history
   : including some weird food allergies - nuts, mushrooms. 
   : 

   Many of these cereals are corn-based. After your post I looked in the
   literature and located two articles that implicated corn (contains
   tryptophan) and seizures. The idea is that corn in the diet might
   potentiate an already existing or latent seizure disorder, not cause it.
   Check to see if the two Kellog cereals are corn based. I'd be interested.
   --
   David Ozonoff, MD, MPH		 |Boston University School of Public Health
   dozonoff@med-itvax1.bu.edu	 |80 East Concord St., T3C
   (617) 638-4620			 |Boston, MA 02118 


A couple of folks have suggested the ""corn connection"".  In the five month
period between the two seizures, my daughter had eaten a fair amount of
Kix and Berry Berry Kix in the mornings and never had a problem.  I checked
the labels and the first ingredient is corn.  She has also never had a problem
eating corn or corn on the cob but of course, that is usually later in the day
with a full stomach so the absorption would not be so high.  I do believe that
Frost Flakes have corn in them but I will have to check the Fruit Loops.  But
the fact that she has eaten this other corny cereal in the morning makes me
wonder.

Thanks for checking into this.  All information at this point is valuable to me.

Sharon
--
Sharon Paulson                      s.s.paulson@larc.nasa.gov
NASA Langley Research Center
Bldg. 1192D, Mailstop 156           Work: (804) 864-2241
Hampton, Virginia.  23681           Home: (804) 596-2362
",M,M
"

To: ashwin@cc.gatech.edu (Ashwin Ram)

AR>Does the ""Thermoscan"" instrument really work?  It is supposed to give you a

ABSOLUTELY!
Ya don't have to do the other end!
(it is accurate - but technique is important)

cccbbs!rob.welder@uceng.uc.edu
---
 . QMPro 1.02 41-4771 . See?... It only hurts for a little while!
                                                                      
",E,M
"


I had a similar idea, for a fax/answering machine switch,
to put both machines on one line.  You order distinctive
ringing from your phone company.  This is $3/month here.
You get a second (unpublished) phone number.  When
someone calls this number, your phone rings with short
rings instead of long rings.

You set up your answering machine on 4 rings and your fax
on six rings.  You'd give out the new # as your fax #.
A device would measure the length of rings.  When it
detects a short ring, it turns off your answering machine.
Five rings later your fax picks up the call.

This should be cheaper and more elegant than the $80
switches now available.

But that's not what I did.  I'm giving out the new
# to my friends and customers.  This should leave the
old # for telemarketers, etc.  I won't pick up the
phone when I hear the long rings.
-- 
""Why my thoughts are my own, when they are in, but when they are out
they are another's."" - Susannah Martin, hanged for witchcraft, 1692.
Thomas David Kehoe          kehoe@netcom.com         (408) 354-5926
",E,E
"
Message-ID: <1qmbi7$aln@transfer.stratus.com>
References: <1pseebINNhn6@rave.larc.nasa.gov> <1993Apr7.094703.14511@news.cs.indiana.edu> <bhaskar.734241478@orion.me.uiuc.edu> <C55CxI.95B@mentor.cc.purdue.edu> <mdonahue.15x9@amiganet.chi.il.us>,<C5K177.BoK@world.std.com>
NNTP-Posting-Host: m3-enet.eng.stratus.com


>Off-shore assembly is one reason that Adcom is able to make products 
>that perform as well as those from people like Audio Research and Van 
>Alstine (and better than Hafler and Forte'), but at a much lower cost. 

How do you spell ""tuna helper"" ? 

I gather by off-shore assembly you mean that adcoms are built by 
blue-fin tuna's who are into that squid-fi sound?  (I agree on that one). 
My Adcom 555 preamp did sound better after installing the famous  
""running the chips class ""A"" resistor mod"", and replacing the metal 
bottom cover with plexiglass,, too bad the factory could not make em sound 
better,, but better sound, unfortunately, does not appear to be a priority 
with Adcom, else the mods would neither have been necessary, nor would they 
have improved what was already touted as superlative state-o-d-art le'sound. 
I really want to hear from all those people out there who have traded up  
from an sp9II (even an sp3a!) to a GFP-555/etc., or maybe from those that 
have dumped their forte' amps for a GFA-555/etc....  


",E,E
"
Nntp-Posting-Host: picasso.synoptics.com


    Just a few comments about the feasability of zipping up a bunch of miles
on your electronic odometer with an oscillator....

    I wouldn't expect to be able to do this.  Not because the engineers at BMW are
putting in anti-fraud logic, but just because an automobile is a noisy, hostile
environment for electronics, and I would expect the software to be conservative.

   If I were to design a microprocessor-based odometer/speedometer program,
it would have the following features ( just off the top of my head ):

         * Debouncing/deglitching  ( Is this a real pulse, or just a glitch? )
         * Smoothing:  The rate-of-change of speed cannot be too high:
                                This is a car, not an electron.
         *  Top speed limit:  Anything above 200MPH is ridiculous: must be
                                        electrical noise or contact bounce

    As for getting in and presetting the pins:  if this is the circuit board out of
a BMW dashboard, I seem to remember a single big chip with lotsa pins in the
middle of the card.  Good luck getting at the counter :-).

    I wouldn't expect a high input frequency to damage the meter:  remember, it's
probably damped so it can't move too fast, and is probably protected.  After all,
a car is an extremely hostile place for delicate electronics;  there used to be an
app note in the National Semiconductor Linear Databook that went into this
in good detail.

                               - Jerry Kaidor ( tr2!jerry@dragoman.com, jkaidor@synoptics.com )


                                  - Jerry Kaidor
",E,E
"

My girlfriend is in pain from kidney stones. She says that because she has no
medical insurance, she cannot get them removed.

My question: Is there any way she can treat them herself, or at least mitigate
their effects? Any help is deeply appreciated. (Advice, referral to literature,
etc...)

Thank you,

Dave Carvell
pk115050@wvnvms.wvnet.edu
",M,M
"

In article <C65oIL.436@vuse.vanderbilt.edu>, alex@vuse.vanderbilt.edu (Alexander P. Zijdenbos) writes:
>FLAME ON
>
>Reading through the posts about Kirlian (whatever spelling)
>photography I couldn't help but being slightly disgusted by the
>narrow-minded, ""I know it all"", ""I don't believe what I can't see or
>measure"" attitude of many people out there.
>
>I am neither a real believer, nor a disbeliever when it comes to
>so-called ""paranormal"" stuff; but as far as I'm concerned, it is just
>as likely as the existence of, for instance, a god, which seems to be
>quite accepted in our societies - without any scientific basis.
>
>I am convinced that it is a serious mistake to close your mind to
>something, ANYTHING, simply because it doesn't fit your current frame
>of reference. History shows that many great people, great scientists,
>were people who kept an open mind - and were ridiculed by sceptics.
>
>Especially the USA should be grateful; after all, Columbus did not
>drop off the edge of the earth.
>
>FLAME OFF, or end sermon :-)

We know that sermon.  It is posted roughly every month or so by different
persons, and that doesn't make it any better.

How did you get the idea that skeptics are closed-minded?  Why don't you
consider the possibility that they came to their conclusions by the
proper methods?  Besides, one can come to a conclusion without closing
one's mind to other possibilities.

I you don't agree with a person, please ask him why he thinks like that,
instead of insulting him.  Perhaps he's right.  Follow your own advice,
be open-minded.

If you don't post a bit of evidence for your claims, I'll complain that
it's always those ""neither a real believer, nor a disbeliever"" types who 
narrow-mindedly judge others without knowing their motives.

--
thomas kettenring, 3 dan, kaiserslautern, germany
The extraterrestrials don't even know this planet has native inhabitants.
Their government doesn't tell them.
",E,M
"

Does anybody have informations about the

 W 86 C 451   and  W 86 C 456 chips (40pin DIL pckg)?

They are build in a multifunction io-card for pc.

Thanks 
         Dirk
-- 
------------------------------------------------------------
Dirk Junghanns                    junghanns@rz.tu-ilmenau.de
------------------------------------------------------------
",E,E
"

Hi.  I'm looking for software to aid a friend of mine with designing speakers.
Does this type of software exist?  If anyone can point me toward a shareware or
freeware product with this description, that would be ideal.

...Steve van der Burg (using a friend's account)

(p.s. Excuse the terseness of the message;  I'm having difficulty stringing
readable sentences together today, for some reason.)

-- 

				-Luke Koops

",E,E
"

>Could some kind soul post me the max power/voltage/current ratings of
>2SC1096 and 2SA634 transistors, their conductance types and pinouts.
>They are used in the sweep portion of a TV set.

2SC1096
  Maximum Ratings:
    VCBO = 40V
    VCEO = 30V
    IC   = 3A
    PC   = 10W (T=25C)

  ICBO max = 1uA
  VCB = 30V
  COB = 55pF

  at Q-point VCE=5, IC=1A --> hfe = 100

2SA634
  Maximum Ratings:
    VCBO = -40V
    VCEO = -30V
    IC   = -3A
    PC   = 10W (T=25C)

  ICBO max = -1uA
  VCB = -30V
  COB = 75pF

  at Q-point VCE = -5V, IC = -1A --> hfe = 100

That's all i can get from my data book, hope that helps.

suwanto@iastate.edu

    
",E,E
"
Sender: news@osuunx.ucc.okstate.edu (USENET News System)
Nntp-Posting-Host: vms.ocom.okstate.edu
Organization: OSU College of Osteopathic Medicine
References: <1993Apr22.153000.1@vms.ocom.okstate.edu> <1r9j33$4g8@hsdndev.harvard.edu>
Date: Sat, 24 Apr 1993 00:04:30 GMT

In article <1r9j33$4g8@hsdndev.harvard.edu>, rind@enterprise.bih.harvard.edu (David Rind) writes:
> In article <1993Apr22.153000.1@vms.ocom.okstate.edu>
>  banschbach@vms.ocom.okstate.edu writes:
>>poster for being treated by a liscenced physician for a disease that did 
>>not exist.  Calling this physician a quack was reprehensible Steve and I 
>>see that you and some of the others are doing it here as well.  
> 
> Do you believe that any quacks exist?  How about quack diagnoses?  Is
> being a ""licensed physician"" enough to guarantee that someone is not
> a quack, or is it just that even if a licensed physician is a quack,
> other people shouldn't say so?  Can you give an example of a
> commonly diagnosed ailment that you think is a quack diagnosis,
> or have we gotten to the point in civilization where we no longer
> need to worry about unscrupulous ""healers"" taking advantage of
> people.
> -- 
> David Rind

I don't like the term ""quack"" being applied to a licensed physician David.
Questionable conduct is more appropriately called unethical(in my opinion).
I'll give you some examples.

	1. Prescribing controlled substances to patients with no 
	   demonstrated need(other than a drug addition) for the medication.

	2. Prescribing thyroid preps for patients with normal thyroid 
	   function for the purpose of quick weight loss.

	3. Using laetril to treat cancer patients when such treatment has 
	   been shown to be ineffective and dangerous(cyanide release) by 
	   the NCI.

These are errors of commission that competently trained physicians should 
not committ but sometimes do.  There are also errors of omission(some of 
which result in malpractice suits).  I don't think that using anti-fungal 
agents to try to relieve discomfort in a patient who you suspect may be 
having a problem with candida(or another fungal growth) is an error of 
commission or omission.  Healers have had a long history of trying to 
relieve human suffering.  Some have stuck to standard, approved procedures,
others have been willing to try any reasonable treatment if there is a 
chance that it will help the patient.  The key has to be tied to the 
healer's oath, ""I will do no harm"".  But you know David that very few 
treatments involve no risk to the patient.  The job of the physician is a 
very difficult one when risk versus benefit has to be weighed.  Each 
physician deals with this risk/benefit paradox a little differently.  Some 
are very conservative while others are more agressive.  An agressive 
approach may be more costly to the patient and carry more risk but as long 
as the motive is improving the patient's health and not an attempt to rake 
in lots of money(through some of the schemes that have been uncovered in 
the medicare fraud cases), I don't see the need to label these healers as 
quacks or even unethical.

What do I reserve the term quack for?  Pseudo-medical professionals.  
These people lurk on the fringes of the health care system waiting for the 
frustrated patient to fall into their lair.  Some of these individuals are 
really doing a pretty good job of providing ""alternative"" medicine.  But 
many lack any formal training and are in the ""business"" simply to make a 
few fast bucks.   While a patient can be reasonably assured of getting 
competent care when a liscenced physician is consulted, this alternative 
care area is really a buyer's beware arena.  If you are lucky, you may find 
someone who can help you.  If you are unlucky, you can loose a lot of 
money and develop severe disease because of the inability of these pseudo-
medical professional to diagnose disease(which is the fortay of the 
liscened physicians).

I hope that this clears things up David.

Marty B.
",M,M
"

In article <1993Mar25.020646.852@news.columbia.edu> jhl14@cunixa.cc.columbia.edu (Jonathan H. Lin) writes:
>I was wondering what steps are being taken to prevent the spread of
>multi-drug resistant tuberculosis.  I've heard that some places are
>thinking of incarcerating those with the disease.  Doesn't this violate
>the civil rights of these individuals?  Are there any legal precedents
>for such action?
>

Who knows in this legal climate, but there is tremendous legal precendent
for forcibly quarantining TB patients in sanitariums.  100 yrs ago
it was done all the time.  It has been done sporadically all along
in patients who won't take their medicine.  If you have TB you
may find yourself under surveilence of the Public Health Department
and you may find they have the legal power to insist you make your
clinic visits.
-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" 
----------------------------------------------------------------------------
",M,M
"

In article <1ql7ug$i50@sunb.ocs.mq.edu.au> johnh@macadam.mpce.mq.edu.au (John Haddy) writes:
>In article <120466@netnews.upenn.edu>, jhaines@eniac.seas.upenn.edu (Jason Haines) writes:
>|> 
>|> 	I was wondering if people had any good uses for old
>|> 256k SIMMs.  I have a bunch of them for the Apple Mac
>|> and I know lots of other people do to.  I have tried to
>|> sell them but have gotten NO interest.
>|> 
>|> 	So, if you have an inovative use (or want to buy
>|> some SIMMs  8-) ), I would be very interested in hearing
>|> about it.
>
>The most practical use I've seen for them is as key ring ornaments :-)
>
>JohnH

I used a bunch as weights, when building a model airplane.  Hung them
on the stringers, across the stringer, or whatever.  Worked pretty well.

Kelly

",E,E
"
Sender: news@osuunx.ucc.okstate.edu (USENET News System)
Nntp-Posting-Host: vms.ocom.okstate.edu
Organization: OSU College of Osteopathic Medicine
References: <1rhfrkINN816@shelley.u.washington.edu>
Date: Mon, 26 Apr 1993 23:45:38 GMT

In article <1rhfrkINN816@shelley.u.washington.edu>, nodrog@hardy.u.washington.edu (Gordon Rubenfeld) writes:
> banschbach@vms.ocom.okstate.edu writes:
> 
>>to candida blooms following the use of broad-spectrum antibiotics?  Gorden 
>>Rubenfeld, through e-mail, has assured me that most physicians recognize 
>>the chance of candida blooms occuring after broad-spectrum antibiotic use 
>>and they therefore reinnoculate their patients with *good* bacteria to 
>>restore competetion for candida in the body.  I do not believe that this is 
>>yet a standard part of medical practice.  
> 
>   Nor is it mine.  What I tried to explain to Marty was that it is clearly
> understood that antibiotic exposure is a risk factor for fungal infections
> - which is not the same as saying bacteria prevent fungal infections. 
> Marty made this sound like a secret  known only to veternarians and
> biochemists.  Anyone who has treated a urinary tract infection knowns
> this. At some centers pre-op liver transplant patients receive bowel
> decontamination directed at retaining ""good"" anaerobic flora in an attempt
> to prevent fungal colonization in this soon-to-be high risk group.  I also
> use lactobacillus to treat enteral nutrition associated diarrhea (that may
> be in part due to alterations in gut flora).  However, it is NOT part of
> my routine practice to ""reinnoculate"" patients with ""good"" bacteria after
> antibiotics.  I have seen no data on this practice preventing or treating
> fungal infections in at risk patients.  Whether or not it is a ""logical
> extension"" from the available observations I'll leave to those of you who
> base strong opinions and argue over such speculations in the absence of
> clinical trials. 
>   One place such therapy has been described is in treating particularly
> recalcitrant cases of C. difficile colitis (NOT a fungal infection). There
> are case reports of using stool (ie someone elses) enemas to repopulate
> the patients flora.  Don't try this at home. 
> 
>>not give give her advise to use the OTC anti-fungal creams.  Since candida 
>>colonizes primarily in the ano-rectal area, GI symptoms should be more common 
>>than vaginal problems after broad-spectrum antibiotic use.
> 
>   Except that it isn't. At least symptomatically apparent disease.
> 
>>Medicine has not, and probalby never will be, practiced this way.  There 
>>has always been the use of conventional wisdom.  A very good example is 
>>kidney stones.  Conventional wisdom(because clinical trails have not been 
>>done to come up with an effective prevention), was that restricitng the 
>>intake of calcium and oxalates was the best way to prevent kidney stones 
>>from forming.  Clinical trials focused on drugs or ultrasonic blasts to 
>>breakdown the stone once it formed.  Through the recent New England J of 
>>Medicine article, we now know that conventional wisdom was wrong, 
>>increasing calcium intake is better at preventing stone formation than is 
>>restricting calcium intake.
> 
>   Seems like this is an excellent argument for ignoring anecdotal
> conventional wisdom (a euphemism for no data) and doing a good clinical
> trial, like: 
> 
> AU   Dismukes-W-E.  Wade-J-S.  Lee-J-Y.  Dockery-B-K.  Hain-J-D.
> TI   A randomized, double-blind trial of nystatin therapy for the
>      candidiasis hypersensitivity syndrome [see comments]
> SO   N-Engl-J-Med.  1990 Dec 20.  323(25).  P 1717-23.
>      psychological tests. RESULTS. The three active-treatment regimens
>      and the all-placebo regimen
>      significantly reduced both vaginal and systemic symptoms (P less than
>      0.001), but nystatin did not reduce the systemic symptoms
>      significantly more than placebo. [ . . . ]
>      CONCLUSIONS. In women with presumed candidiasis
>      hypersensitivity syndrome, nystatin does not reduce systemic or
>      psychological symptoms significantly more than placebo. Consequently,
>      the empirical recommendation of long-term nystatin therapy for such
>      women appears to be unwarranted.
> 
>   Does this trial address every issue raised here, no.  Jon Noring was not
> surprised at this negative trial since they didn't use *Sporanox* (despite
> Crook's recommendation for Nystatin).  Maybe they didn't avoid those
> carbohydrates . . . 
> 
>>The conventional wisdom in animal husbandry has been that animals need to 
>>be reinnoculated with *good* bacteria after coming off antibiotic therapy.
>>If it makes sense for livestock, why doesn't it make sense for humans 
>>David?  We are not talking about a dangerous treatment(unless you consider 
>>yogurt dangerous).  If this were a standard part of medical practice, as 
>>Gordon R. says it is, then the incidence of GI distress and vaginal yeast 
>>infections should decline.
> 
>   Marty, you've also changed the terrain of the discussion from empiric
> itraconazole for undocumented chronic fungal sinusitis with systemic
> hypersensitivity symptoms (Noring syndrome) to the yoghurt and vitamin
> therapy of undocumented candida enteritis (Elaine Palmer syndrome) with
> systemic symptoms.  There is significant difference between the cost and
> risk of these two empiric therapeutic trials.  Are we talking about ""real""
> candida infections, the whole ""yeast connection"" hypothesis, the efficacy
> of routine bacterial repopulation in humans, or the ability of anecdotally
> effective therapies (challenged by a negative randomized trial) to confirm
> an etiologic hypothesis (post hoc ergo propter hoc).  We can't seem to
> focus in on a disease, a therapy, or a hypothesis under discussion. 
>           
>                            I'm lost!

Candida can do that to you. :-)  Gordon, I think that the best clinical 
trial for candida blooms would involve giving women with chronic vaginal 
candida blooms L. Acidophilus orally and see it it can decrease the 
frequency and extent of candida blooms in the vagina since most of the 
candida seems to be migrating in from the anal region and L. acidophilus 
should be able keep the candida in check if it can make it through the 
intestinal tract and colonize in the anus where it will have access to 
oxygen(just like it does in the vagina).  As much stuff as there is in the 
lay press about L. acidophilus and vaginal yeast infections, I'm really 
amazed that someone has not done a clinical trial yet to check it out.


The calcium and kidney stone story is not a good reason to throw all 
conventional wisdom out the window.  Where would medicine be if 
conventional wisdom had not been used to develop many of the standard 
medical practices that could not be confirmed through clinical trials?
The clinical trial is a very new arrival on the medical scene(and a very 
important one).  The lack of proof that reinnoculation with good bacteria 
after antibiotic use is important to the health of a patient is no reason 
to dismiss it out-of-hand, especially if reinnoculation can be done cleaply 
and safely(like it is in animal husbandry).

Marty B.

",M,M
"
Sender: news@tinton.ccur.com (News)
Organization: Concurrent Computer Corp., Tinton Falls, NJ
References: <1993Apr26.120417.22328@linus.mitre.org> <1rgrsvINNmpr@gap.caltech.edu> <1993Apr26.204319.11231@ultb.isc.rit.edu>
Date: Tue, 27 Apr 1993 20:08:05 GMT
Lines: 31

In article <1993Apr26.204319.11231@ultb.isc.rit.edu> eas3714@ultb.isc.rit.edu (E.A. Story) writes:
>In article <1rgrsvINNmpr@gap.caltech.edu> carl@SOL1.GPS.CALTECH.EDU writes:
>>Greg:Flame definitely intended here.  Bill was making fun of the misspelling. 
>>Go look up the word ""krill.""  Also, the correct spelling is Kirlian.  It
>>involves taking photographs of corona discharges created by attaching the
>>subject to a high-voltage source, not of some ""aura.""  It works equally well
>>with inanimate objects.
>
>True.. but what about showing the missing part of a leaf?  Is this
>""corona discharge""?
>
I think I can explain the ""missing part of a leaf"" story.

I have actually seen a reproduction of that particular Kirlian
photograph, in a book compiled by people who were enthusiasts of
Kirlian photography.  ""That particular photograph"" ... ?  That's
right, the effect has been observed only once.  Even the writers of
the book were inclined to disbelieve in it.  

I conjecture that the maker of that photograph began by placing
a whole leaf between two plates and taking its Kirlian photo.
For his next experiment, he cut the leaf in half, put one half down
between the same two plates, and took another K. p.  The
""missing half"" effect was created by water, oils, etc. left behind 
after the first photo.

This explanation must be tentative, because after all I wasn't there
when it happened.  

Regards,
Chris Henrich
",M,M
"

Awhile back someone posted some information on where you can get
kits to build an EEG.  Does anyone remember where you could get
this.  I'm very interested in getting some info on this.  Thanks 
in advance.

eric

cantrell@sauron.msfc.nasa      

",E,E
"


Let me try sending this message again, I botched up the margins the
first time; *sorry* 'bout that :)

Does anyone out there know of any products using Motorola's Neuron(r)
chips MC143150 or MC143120. If so, what are they and are they utilizing
Standard Network Variable Types (SNVT)?
________________________________________________________________________

Ted Van Den Heuvel   heuvel@neptune.iex.com
KX5P
________________________________________________________________________
",E,E
"

In article <afgE02Wb3dVu01@JUTS.ccc.amdahl.com>,
 dws30@p1ps110cd.amdahl.com (David Sharpe) writes:
> There are a few more details to radar and some
> rumors that are not true.  A common one is that two beams are sent one
> reading the car speed and one the ground speed.  If this were true then
> calabration would be murder.  Hope this helps (Flame On)

Gee, then I guess the extra horn that's mounted in the floor of some SDPD cars,
firing at the ground at a shallow angle, is just for show, huh?

(For calibration, they simply turn off one horn or the other.) 

	--- Jamie Hanrahan, Kernel Mode Systems, San Diego CA
Internet:  jeh@cmkrnl.com  Uucp: uunet!cmkrnl!jeh  CIS: 74140,2055
",E,E
"

I have a Fujitsu M2322K which has been removed (I believe) from a digital
X-Ray machine (takes X-Ray pictures without film).  The Fujitsu part number
is B03B-4745-B002A.

I have obtained some data on the device, it is 8-inch winchester-type
of 168 megabyte capacity (though I was told it was over 800 megabytes).
However, there is very little information on the interface standard used.
It appears to use two balanced-line connections, but what each connection
corresponds to I know not. One connection is a 30-way IDC, the other a
60-way IDC.

If anyone has any information on this device, I would be most grateful
if you could provide it.

Thanks.


Chris Powell.
-- 
+------------------------------------------------------------------------+
|  THE MAN FROM :  #####  #######  | JANET    : cjp1@uk.ac.aber          |
|                 #     #     _#   | Internet : cjp1@aber.ac.uk          |
|                 #     #  _#      | NYX      : cpowell@nyx.cs.du.edu    |
",E,E
"

Iridology is descendant from a 19th-century theory which mapped certain
diseases to sectors of the iris of the eye.  There's enough natural
variation in color that a skilled examiner can find indicators of
virtually any disease.

Modern scientists consider it to be complete bunk.
",M,M
